"GOUVEIA";"MG"
"GOVERNADOR VALADARES";"MG"
"GRAO MOGOL";"MG"
"GUARACIAMA";"MG"
"GUARAPARI";"ES"
"GUARULHOS";"SP"
"HORTOLANDIA";"SP"
"IBIRITE";"MG"
"IBIUNA";"SP"
"ICARAI DE MINAS";"MG"
"IGARAPE";"MG"
"INDAIATUBA";"SP"
"INHAPIM";"MG"
"INHAUMA";"MG"
"INIMUTABA";"MG"
"IPAMERI";"GO"
"IPATINGA";"MG"
"IRECE";"BA"
"ITABIRA";"MG"
"ITABIRITO";"MG"
"ITABUNA";"BA"
"ITACARAMBI";"MG"
"ITACOATIARA";"AM"
"ITAIPE";"MG"
"ITAJAI";"SC"
"ITAMARAJU";"BA"
"ITAMARANDIBA";"MG"
"ITAMARATI DE MINAS";"MG"
"ITAMBE";"PE"
"ITAMBE DO MATO DENTRO";"MG"
"ITANHEM";"BA"
"ITAOBIM";"MG"
"ITAPECERICA";"MG"
"ITAPEVI";"SP"
"ITAPISSUMA";"PE"
"ITARANTIM";"BA"
"ITATIAIUCU";"MG"
"ITAUNA";"MG"
"ITINGA";"MG"
"ITU";"SP"
"IUNA";"ES"
"JABOATAO DOS GUARARAPES";"PE"
"JABOTICATUBAS";"MG"
"JACUTINGA";"MG"
"JAIBA";"MG"
"JANAUBA";"MG"
"JANUARIA";"MG"
"JENIPAPO DE MINAS";"MG"
"JEQUIE";"BA"
"JEQUITINHONHA";"MG"
"JOAIMA";"MG"
"JOAO MONLEVADE";"MG"
"JOAO NEIVA";"ES"
"JOAO PESSOA";"PB"
"JOAQUIM FELICIO";"MG"
"JORDANIA";"MG"
"JOSE GONCALVES DE MINAS";"MG"
"JOSE RAYDAN";"MG"
"JUATUBA";"MG"
"JUIZ DE FORA";"MG"
"LAGAMAR";"MG"
"LAGOA DA PRATA";"MG"
"LAGOA SANTA";"MG"
"LAJEADO";"RS"
"LAJEDAO";"BA"
"LAMBARI";"MG"
"LARANJAL";"MG"
"LASSANCE";"MG"
"LEME DO PRADO";"MG"
"LEOPOLDINA";"MG"
"LIMEIRA";"SP"
"LIMEIRA DO OESTE";"MG"
"LINHARES";"ES"
"LONTRA";"MG"
"LUCAS DO RIO VERDE";"MT"
"LUISLANDIA";"MG"
"LUMINARIAS";"MG"
"LUZIANIA";"GO"
"MACEIO";"AL"
"MAIRIPORA";"SP"
"MAMBAI";"GO"
"MANACAPURU";"AM"
"MANAUS";"AM"
"MANGA";"MG"
"MANICORE";"AM"
"MANTENA";"MG"
"MARATAIZES";"ES"
"MARAVILHAS";"MG"
"MARIANA";"MG"
"MARTINHO CAMPOS";"MG"
"MARTINS SOARES";"MG"
"MATA VERDE";"MG"
"MATEUS LEME";"MG"
"MATIAS BARBOSA";"MG"
"MATO VERDE";"MG"
"MATOZINHOS";"MG"
"MEDINA";"MG"
"MINAS NOVAS";"MG"
"MINEIROS";"GO"
"MIRAI";"MG"
"MOEDA";"MG"
"MONTES CLAROS";"MG"
"MUTUM";"MG"
"NATAL";"RN"
"NEROPOLIS";"GO"
"NINHEIRA";"MG"
"NITEROI";"RJ"
"NOVA ERA";"MG"
"NOVA IGUACU";"RJ"
"NOVA LIMA";"MG"
"NOVA MODICA";"MG"
"NOVA OLINDA DO NORTE";"AM"
"NOVA PORTEIRINHA";"MG"
"NOVA SERRANA";"MG"
"NOVA UNIAO";"MG"
"NOVO GAMA";"GO"
"OSASCO";"SP"
"OURICURI";"PE"
"OURO BRANCO";"MG"
"OURO PRETO";"MG"
"PACAEMBU";"SP"
"PADRE PARAISO";"MG"
"PAPAGAIOS";"MG"
"PARA DE MINAS";"MG"
"PARACATU";"MG"
"PARACURU";"CE"
"PARAIPABA";"CE"
"PARANAIBA";"MS"
"PARAOPEBA";"MG"
"PARINTINS";"AM"
"PATOS DE MINAS";"MG"
"PATROCINIO DO MURIAE";"MG"
"PAULISTA";"PE"
"PEDRA AZUL";"MG"
"PEDRAS DE MARIA DA CRUZ";"MG"
"PEDRO LEOPOLDO";"MG"
"PESCADOR";"MG"
"PIATA";"BA"
"PIEDADE DE CARATINGA";"MG"
"PINHAIS";"PR"
"PIRACEMA";"MG"
"Piracicaba";"SP"
"PIRAPETINGA";"MG"
"PIRAPORA";"MG"
"PITANGUI";"MG"
"PIUMA";"ES"
"PIUMHI";"MG"
"PLANALTINA";"GO"
"POMBOS";"PE"
"POMPEU";"MG"
"PONTE NOVA";"MG"
"PONTO DOS VOLANTES";"MG"
"PORTEIRINHA";"MG"
"PORTO FELIZ";"SP"
"POUSO ALEGRE";"MG"
"PRADO";"BA"
"PRESIDENTE FIGUEIREDO";"AM"
"PRESIDENTE KUBITSCHEK";"MG"
"PRESIDENTE PRUDENTE";"SP"
"PRUDENTE DE MORAIS";"MG"
"quartel geral";"MG"
"RAPOSOS";"MG"
"RECIFE";"PE"
"REDUTO";"MG"
"RESPLENDOR";"MG"
"RIACHO DE SANTANA";"BA"
"RIBEIRAO DAS NEVES";"MG"
"RIBEIRAO PRETO";"SP"
"RIBEIRAO VERMELHO";"MG"
"RIO CLARO";"SP"
"RIO DE JANEIRO";"RJ"
"RIO DO PRADO";"MG"
"RIO PARDO DE MINAS";"MG"
"RIO PRETO DA EVA";"AM"
"RIO VERDE";"GO"
"ROSARIO DA LIMEIRA";"MG"
"SABARA";"MG"
"SABINOPOLIS";"MG"
"SALINAS";"MG"
"SALVADOR";"BA"
"SANTA BARBARA";"MG"
"SANTA BARBARA DO LESTE";"MG"
"SANTA BARBARA DO TUGURIO";"MG"
"SANTA CRUZ DE SALINAS";"MG"
"SANTA CRUZ DO CAPIBARIBE";"PE"
"SANTA LUZIA";"MG"
"SANTA MARIA DE ITABIRA";"MG"
"SANTA MARIA DO SUACUI";"MG"
"SANTANA DO MANHUACU";"MG"
"SANTANA DO RIACHO";"MG"
"SANTO HIPOLITO";"MG"
"SAO BENEDITO";"CE"
"SAO BENEDITO DO SUL";"PE"
"SAO CAITANO";"PE"
"SAO DOMINGOS DO PRATA";"MG"
"SAO FRANCISCO";"MG"
"SAO GERALDO DO BAIXIO";"MG"
"SAO GONCALO DO AMARANTE";"CE"
"SAO GONCALO DO PARA";"MG"
"SAO GONCALO DO RIO ABAIXO";"MG"
"SAO GOTARDO";"MG"
"SAO JOAO DA LAGOA";"MG"
"SAO JOAO DA PONTE";"MG"
"SAO JOAO DO MANHUACU";"MG"
"SAO JOAO DO MANTENINHA";"MG"
"SAO JOAO DO ORIENTE";"MG"
"SAO JOAO DO PACUI";"MG"
"SAO JOAO DO PARAISO";"MG"
"SAO JOAO EVANGELISTA";"MG"
"SAO JOAQUIM DE BICAS";"MG"
"SAO JOSE DA LAPA";"MG"
"SAO JOSE DA VARGINHA";"MG"
"SAO JOSE DO JACURI";"MG"
"SAO LOURENCO DA MATA";"PE"
"SAO LUIS";"MA"
"SAO MATEUS";"ES"
"SAO PAULO";"SP"
"SAO SEBASTIAO DO MARANHAO";"MG"
"SAO SEBASTIAO DO OESTE";"MG"
"SAPIRANGA";"RS"
"SAPUCAI-MIRIM";"MG"
"SARZEDO";"MG"
"SERRA";"ES"
"SETE LAGOAS";"MG"
"SILVIANOPOLIS";"MG"
"SIMONESIA";"MG"
"SINOP";"MT"
"SOORETAMA";"ES"
"SOROCABA";"SP"
"SORRISO";"MT"
"TAIOBEIRAS";"MG"
"TEFE";"AM"
"TEIXEIRA DE FREITAS";"BA"
"TEOFILO OTONI";"MG"
"TIMOTEO";"MG"
"TORITAMA";"PE"
"TRES CORACOES";"MG"
"TRES LAGOAS";"MS"
"TRES PONTAS";"MG"
"TURMALINA";"MG"
"UBAI";"MG"
"UBAPORANGA";"MG"
"UBERABA";"MG"
"UBERLANDIA";"MG"
"UNAI";"MG"
"UNIAO DOS PALMARES";"AL"
"VALPARAISO DE GOIAS";"GO"
"VARGEM ALTA";"ES"
"VARGINHA";"MG"
"VARZELANDIA";"MG"
"VENANCIO AIRES";"RS"
"VESPASIANO";"MG"
"VIANA";"ES"
"VICOSA";"MG"
"VILA VELHA";"ES"
"VIRGEM DA LAPA";"MG"
"VIRGINOPOLIS";"MG"
"VISCONDE DO RIO BRANCO";"MG"
"VITORIA";"ES"
"VITORIA DE SANTO ANTAO";"PE"
